Parameter,Value
Experiment,context_scaling_gsm8k
Dataset,GSM8K
Evaluation Split,TEST
Model,qwen3.5:0.8b-mlx
Backend Operator,ollama
Model Format,mlx
Device,MacBook Air M1
Operating System,macOS
CPU,Apple M1
GPU,Apple M1 GPU (Metal Unified Memory) (Count: 1)
System RAM,8 GB
Evaluation Examples,20
Prompt Strategies,6
Warmup Runs,1
Repetitions,1
Max Generation Tokens,Zero-shot Direct: 256 / Few-shot (3): 256 / Zero-shot CoT: 512 / Short CoT: 512 / Long CoT: 1024
Sampling Temperature,0.0
Sampling Seed,42
Energy Measurement Method,apple_estimated
Energy Quality / Level,estimated (estimated_system)
